intent,answer
balance_check,Sure. You can check your account balance using mobile banking or net banking
balance_check,Sure. You can check your account balance using mobile banking or net banking Please let me know if you need further help.
balance_check,"Sure. You can check your account balance using mobile banking or net banking If you need more assistance, feel free to ask."
balance_check,Sure. You can check your account balance using mobile banking or net banking Thank you for calling.
balance_check,Sure. You can check your account balance using mobile banking or net banking I hope this helps.
balance_check,Sure. Your account balance can be viewed through the bank mobile app or net banking
balance_check,Sure. Your account balance can be viewed through the bank mobile app or net banking Please let me know if you need further help.
balance_check,"Sure. Your account balance can be viewed through the bank mobile app or net banking If you need more assistance, feel free to ask."
balance_check,Sure. Your account balance can be viewed through the bank mobile app or net banking Thank you for calling.
balance_check,Sure. Your account balance can be viewed through the bank mobile app or net banking I hope this helps.
balance_check,Sure. Please use mobile banking or visit your nearest branch to know your balance
balance_check,Sure. Please use mobile banking or visit your nearest branch to know your balance Please let me know if you need further help.
balance_check,"Sure. Please use mobile banking or visit your nearest branch to know your balance If you need more assistance, feel free to ask."
balance_check,Sure. Please use mobile banking or visit your nearest branch to know your balance Thank you for calling.
balance_check,Sure. Please use mobile banking or visit your nearest branch to know your balance I hope this helps.
balance_check,I understand. You can check your account balance using mobile banking or net banking
balance_check,I understand. You can check your account balance using mobile banking or net banking Please let me know if you need further help.
balance_check,"I understand. You can check your account balance using mobile banking or net banking If you need more assistance, feel free to ask."
balance_check,I understand. You can check your account balance using mobile banking or net banking Thank you for calling.
balance_check,I understand. You can check your account balance using mobile banking or net banking I hope this helps.
balance_check,I understand. Your account balance can be viewed through the bank mobile app or net banking
balance_check,I understand. Your account balance can be viewed through the bank mobile app or net banking Please let me know if you need further help.
balance_check,"I understand. Your account balance can be viewed through the bank mobile app or net banking If you need more assistance, feel free to ask."
balance_check,I understand. Your account balance can be viewed through the bank mobile app or net banking Thank you for calling.
balance_check,I understand. Your account balance can be viewed through the bank mobile app or net banking I hope this helps.
balance_check,I understand. Please use mobile banking or visit your nearest branch to know your balance
balance_check,I understand. Please use mobile banking or visit your nearest branch to know your balance Please let me know if you need further help.
balance_check,"I understand. Please use mobile banking or visit your nearest branch to know your balance If you need more assistance, feel free to ask."
balance_check,I understand. Please use mobile banking or visit your nearest branch to know your balance Thank you for calling.
balance_check,I understand. Please use mobile banking or visit your nearest branch to know your balance I hope this helps.
balance_check,No problem. You can check your account balance using mobile banking or net banking
balance_check,No problem. You can check your account balance using mobile banking or net banking Please let me know if you need further help.
balance_check,"No problem. You can check your account balance using mobile banking or net banking If you need more assistance, feel free to ask."
balance_check,No problem. You can check your account balance using mobile banking or net banking Thank you for calling.
balance_check,No problem. You can check your account balance using mobile banking or net banking I hope this helps.
balance_check,No problem. Your account balance can be viewed through the bank mobile app or net banking
balance_check,No problem. Your account balance can be viewed through the bank mobile app or net banking Please let me know if you need further help.
balance_check,"No problem. Your account balance can be viewed through the bank mobile app or net banking If you need more assistance, feel free to ask."
balance_check,No problem. Your account balance can be viewed through the bank mobile app or net banking Thank you for calling.
balance_check,No problem. Your account balance can be viewed through the bank mobile app or net banking I hope this helps.
balance_check,No problem. Please use mobile banking or visit your nearest branch to know your balance
balance_check,No problem. Please use mobile banking or visit your nearest branch to know your balance Please let me know if you need further help.
balance_check,"No problem. Please use mobile banking or visit your nearest branch to know your balance If you need more assistance, feel free to ask."
balance_check,No problem. Please use mobile banking or visit your nearest branch to know your balance Thank you for calling.
balance_check,No problem. Please use mobile banking or visit your nearest branch to know your balance I hope this helps.
balance_check,I can help you with that. You can check your account balance using mobile banking or net banking
balance_check,I can help you with that. You can check your account balance using mobile banking or net banking Please let me know if you need further help.
balance_check,"I can help you with that. You can check your account balance using mobile banking or net banking If you need more assistance, feel free to ask."
balance_check,I can help you with that. You can check your account balance using mobile banking or net banking Thank you for calling.
balance_check,I can help you with that. You can check your account balance using mobile banking or net banking I hope this helps.
balance_check,I can help you with that. Your account balance can be viewed through the bank mobile app or net banking
balance_check,I can help you with that. Your account balance can be viewed through the bank mobile app or net banking Please let me know if you need further help.
balance_check,"I can help you with that. Your account balance can be viewed through the bank mobile app or net banking If you need more assistance, feel free to ask."
balance_check,I can help you with that. Your account balance can be viewed through the bank mobile app or net banking Thank you for calling.
balance_check,I can help you with that. Your account balance can be viewed through the bank mobile app or net banking I hope this helps.
balance_check,I can help you with that. Please use mobile banking or visit your nearest branch to know your balance
balance_check,I can help you with that. Please use mobile banking or visit your nearest branch to know your balance Please let me know if you need further help.
balance_check,"I can help you with that. Please use mobile banking or visit your nearest branch to know your balance If you need more assistance, feel free to ask."
balance_check,I can help you with that. Please use mobile banking or visit your nearest branch to know your balance Thank you for calling.
balance_check,I can help you with that. Please use mobile banking or visit your nearest branch to know your balance I hope this helps.
balance_check,Certainly. You can check your account balance using mobile banking or net banking
balance_check,Certainly. You can check your account balance using mobile banking or net banking Please let me know if you need further help.
balance_check,"Certainly. You can check your account balance using mobile banking or net banking If you need more assistance, feel free to ask."
balance_check,Certainly. You can check your account balance using mobile banking or net banking Thank you for calling.
balance_check,Certainly. You can check your account balance using mobile banking or net banking I hope this helps.
balance_check,Certainly. Your account balance can be viewed through the bank mobile app or net banking
balance_check,Certainly. Your account balance can be viewed through the bank mobile app or net banking Please let me know if you need further help.
balance_check,"Certainly. Your account balance can be viewed through the bank mobile app or net banking If you need more assistance, feel free to ask."
balance_check,Certainly. Your account balance can be viewed through the bank mobile app or net banking Thank you for calling.
balance_check,Certainly. Your account balance can be viewed through the bank mobile app or net banking I hope this helps.
balance_check,Certainly. Please use mobile banking or visit your nearest branch to know your balance
balance_check,Certainly. Please use mobile banking or visit your nearest branch to know your balance Please let me know if you need further help.
balance_check,"Certainly. Please use mobile banking or visit your nearest branch to know your balance If you need more assistance, feel free to ask."
balance_check,Certainly. Please use mobile banking or visit your nearest branch to know your balance Thank you for calling.
balance_check,Certainly. Please use mobile banking or visit your nearest branch to know your balance I hope this helps.
debit_card_block,Sure. Please block your debit card immediately using mobile banking or customer care
debit_card_block,Sure. Please block your debit card immediately using mobile banking or customer care Please let me know if you need further help.
debit_card_block,"Sure. Please block your debit card immediately using mobile banking or customer care If you need more assistance, feel free to ask."
debit_card_block,Sure. Please block your debit card immediately using mobile banking or customer care Thank you for calling.
debit_card_block,Sure. Please block your debit card immediately using mobile banking or customer care I hope this helps.
debit_card_block,Sure. You should block the lost debit card as soon as possible through the bank app
debit_card_block,Sure. You should block the lost debit card as soon as possible through the bank app Please let me know if you need further help.
debit_card_block,"Sure. You should block the lost debit card as soon as possible through the bank app If you need more assistance, feel free to ask."
debit_card_block,Sure. You should block the lost debit card as soon as possible through the bank app Thank you for calling.
debit_card_block,Sure. You should block the lost debit card as soon as possible through the bank app I hope this helps.
debit_card_block,"Sure. For your safety, block the debit card immediately using available banking services"
debit_card_block,"Sure. For your safety, block the debit card immediately using available banking services Please let me know if you need further help."
debit_card_block,"Sure. For your safety, block the debit card immediately using available banking services If you need more assistance, feel free to ask."
debit_card_block,"Sure. For your safety, block the debit card immediately using available banking services Thank you for calling."
debit_card_block,"Sure. For your safety, block the debit card immediately using available banking services I hope this helps."
debit_card_block,I understand. Please block your debit card immediately using mobile banking or customer care
debit_card_block,I understand. Please block your debit card immediately using mobile banking or customer care Please let me know if you need further help.
debit_card_block,"I understand. Please block your debit card immediately using mobile banking or customer care If you need more assistance, feel free to ask."
debit_card_block,I understand. Please block your debit card immediately using mobile banking or customer care Thank you for calling.
debit_card_block,I understand. Please block your debit card immediately using mobile banking or customer care I hope this helps.
debit_card_block,I understand. You should block the lost debit card as soon as possible through the bank app
debit_card_block,I understand. You should block the lost debit card as soon as possible through the bank app Please let me know if you need further help.
debit_card_block,"I understand. You should block the lost debit card as soon as possible through the bank app If you need more assistance, feel free to ask."
debit_card_block,I understand. You should block the lost debit card as soon as possible through the bank app Thank you for calling.
debit_card_block,I understand. You should block the lost debit card as soon as possible through the bank app I hope this helps.
debit_card_block,"I understand. For your safety, block the debit card immediately using available banking services"
debit_card_block,"I understand. For your safety, block the debit card immediately using available banking services Please let me know if you need further help."
debit_card_block,"I understand. For your safety, block the debit card immediately using available banking services If you need more assistance, feel free to ask."
debit_card_block,"I understand. For your safety, block the debit card immediately using available banking services Thank you for calling."
debit_card_block,"I understand. For your safety, block the debit card immediately using available banking services I hope this helps."
debit_card_block,No problem. Please block your debit card immediately using mobile banking or customer care
debit_card_block,No problem. Please block your debit card immediately using mobile banking or customer care Please let me know if you need further help.
debit_card_block,"No problem. Please block your debit card immediately using mobile banking or customer care If you need more assistance, feel free to ask."
debit_card_block,No problem. Please block your debit card immediately using mobile banking or customer care Thank you for calling.
debit_card_block,No problem. Please block your debit card immediately using mobile banking or customer care I hope this helps.
debit_card_block,No problem. You should block the lost debit card as soon as possible through the bank app
debit_card_block,No problem. You should block the lost debit card as soon as possible through the bank app Please let me know if you need further help.
debit_card_block,"No problem. You should block the lost debit card as soon as possible through the bank app If you need more assistance, feel free to ask."
debit_card_block,No problem. You should block the lost debit card as soon as possible through the bank app Thank you for calling.
debit_card_block,No problem. You should block the lost debit card as soon as possible through the bank app I hope this helps.
debit_card_block,"No problem. For your safety, block the debit card immediately using available banking services"
debit_card_block,"No problem. For your safety, block the debit card immediately using available banking services Please let me know if you need further help."
debit_card_block,"No problem. For your safety, block the debit card immediately using available banking services If you need more assistance, feel free to ask."
debit_card_block,"No problem. For your safety, block the debit card immediately using available banking services Thank you for calling."
debit_card_block,"No problem. For your safety, block the debit card immediately using available banking services I hope this helps."
debit_card_block,I can help you with that. Please block your debit card immediately using mobile banking or customer care
