sentence,intent
"Hi, tell me my balance today",balance_check
tell me my balance as soon as possible,balance_check
Kindly tell me my balance immediately,balance_check
"Hello, check my balance",balance_check
Kindly check my balance today,balance_check
Please what is my account balance,balance_check
"Hello, tell me my balance immediately",balance_check
Can you balance enquiry immediately,balance_check
"Hi, show my balance",balance_check
Please tell me my balance as soon as possible,balance_check
"Sir, tell me my balance now",balance_check
"Sir, show my balance immediately",balance_check
"Hello, what is my account balance immediately",balance_check
Help me to balance enquiry today,balance_check
"Hi, what is my account balance as soon as possible",balance_check
show my balance today,balance_check
tell me my balance as soon as possible,balance_check
Can you tell me my balance immediately,balance_check
what is my account balance now,balance_check
"Hello, tell me my balance immediately",balance_check
"Hi, balance enquiry today",balance_check
"Sir, show my balance please",balance_check
Help me to show my balance now,balance_check
I want to balance enquiry as soon as possible,balance_check
Please what is my account balance as soon as possible,balance_check
Help me to show my balance please,balance_check
"Hi, show my balance now",balance_check
Help me to show my balance please,balance_check
Help me to what is my account balance now,balance_check
"Sir, check my balance today",balance_check
"Hello, show my balance as soon as possible",balance_check
Help me to balance enquiry today,balance_check
"Hi, what is my account balance today",balance_check
check my balance please,balance_check
"Sir, what is my account balance as soon as possible",balance_check
tell me my balance today,balance_check
Can you check my balance as soon as possible,balance_check
I want to balance enquiry immediately,balance_check
Help me to tell me my balance immediately,balance_check
Please show my balance as soon as possible,balance_check
"Hello, tell me my balance",balance_check
Help me to check my balance,balance_check
I want to balance enquiry,balance_check
"Hi, balance enquiry today",balance_check
Can you what is my account balance now,balance_check
Kindly check my balance,balance_check
"Hi, check my balance",balance_check
I want to tell me my balance immediately,balance_check
"Hello, show my balance",balance_check
Can you tell me my balance now,balance_check
Please what is my account balance,balance_check
Kindly balance enquiry immediately,balance_check
Kindly tell me my balance immediately,balance_check
Please tell me my balance immediately,balance_check
"Hi, what is my account balance",balance_check
Help me to show my balance today,balance_check
Please tell me my balance immediately,balance_check
"Sir, show my balance immediately",balance_check
Help me to show my balance as soon as possible,balance_check
"Hi, balance enquiry as soon as possible",balance_check
Can you what is my account balance immediately,balance_check
Kindly what is my account balance today,balance_check
Kindly check my balance today,balance_check
"Sir, show my balance immediately",balance_check
Please show my balance,balance_check
"Sir, what is my account balance as soon as possible",balance_check
Help me to tell me my balance today,balance_check
I want to balance enquiry immediately,balance_check
"Sir, tell me my balance",balance_check
Please check my balance please,balance_check
"Sir, show my balance today",balance_check
Help me to show my balance now,balance_check
"Hi, tell me my balance as soon as possible",balance_check
"Sir, what is my account balance as soon as possible",balance_check
what is my account balance today,balance_check
"Hello, what is my account balance now",balance_check
Can you check my balance,balance_check
Kindly show my balance today,balance_check
check my balance please,balance_check
"Hello, balance enquiry",balance_check
"Hi, balance enquiry",balance_check
"Hi, balance enquiry today",balance_check
"Hello, check my balance please",balance_check
"Sir, show my balance today",balance_check
"Sir, tell me my balance today",balance_check
"Hi, check my balance as soon as possible",balance_check
I want to what is my account balance now,balance_check
"Sir, balance enquiry immediately",balance_check
Help me to tell me my balance immediately,balance_check
"Sir, balance enquiry",balance_check
I want to what is my account balance now,balance_check
"Hi, check my balance immediately",balance_check
I want to balance enquiry as soon as possible,balance_check
check my balance as soon as possible,balance_check
I want to what is my account balance today,balance_check
I want to balance enquiry immediately,balance_check
"Hello, check my balance please",balance_check
"Hi, show my balance please",balance_check
Kindly what is my account balance today,balance_check
"Sir, show my balance immediately",balance_check
Kindly what is my account balance today,balance_check
"Hello, check my balance now",balance_check
I want to tell me my balance,balance_check
I want to what is my account balance today,balance_check
Kindly check my balance now,balance_check
Can you tell me my balance as soon as possible,balance_check
"Hi, tell me my balance please",balance_check
"Sir, what is my account balance immediately",balance_check
I want to check my balance today,balance_check
"Sir, check my balance immediately",balance_check
Kindly check my balance,balance_check
show my balance now,balance_check
Please balance enquiry today,balance_check
Can you balance enquiry today,balance_check
"Hi, balance enquiry now",balance_check
Please tell me my balance,balance_check
Please check my balance,balance_check
"Hi, check my balance",balance_check
I want to tell me my balance please,balance_check
I want to check my balance please,balance_check
"Hi, check my balance now",balance_check
Help me to show my balance,balance_check
"Sir, tell me my balance as soon as possible",balance_check
show my balance please,balance_check
Kindly what is my account balance today,balance_check
show my balance now,balance_check
I want to check my balance as soon as possible,balance_check
"Sir, balance enquiry",balance_check
"Sir, show my balance as soon as possible",balance_check
Help me to tell me my balance now,balance_check
Please show my balance today,balance_check
I want to check my balance today,balance_check
"Hi, show my balance",balance_check
Can you show my balance now,balance_check
Kindly check my balance today,balance_check
Help me to show my balance immediately,balance_check
"Hello, balance enquiry please",balance_check
"Hi, balance enquiry today",balance_check
tell me my balance as soon as possible,balance_check
Can you tell me my balance as soon as possible,balance_check
check my balance now,balance_check
"Hello, tell me my balance please",balance_check
show my balance today,balance_check
"Sir, show my balance as soon as possible",balance_check
I want to balance enquiry today,balance_check
I want to balance enquiry please,balance_check
show my balance now,balance_check
"Sir, check my balance as soon as possible",balance_check
"Hello, balance enquiry immediately",balance_check
"Hi, tell me my balance please",balance_check
Can you tell me my balance today,balance_check
"Sir, check my balance now",balance_check
"Hello, balance enquiry immediately",balance_check
Please show my balance,balance_check
"Hello, show my balance as soon as possible",balance_check
I want to what is my account balance now,balance_check
"Hi, balance enquiry today",balance_check
"Hello, tell me my balance today",balance_check
Help me to balance enquiry today,balance_check
Please check my balance today,balance_check
Can you balance enquiry immediately,balance_check
Kindly balance enquiry please,balance_check
Can you check my balance today,balance_check
I want to balance enquiry today,balance_check
Help me to check my balance as soon as possible,balance_check
"Sir, check my balance now",balance_check
Can you show my balance today,balance_check
Help me to check my balance please,balance_check
"Sir, check my balance please",balance_check
Help me to show my balance as soon as possible,balance_check
Help me to show my balance please,balance_check
Please check my balance as soon as possible,balance_check
Please check my balance now,balance_check
what is my account balance today,balance_check
Kindly what is my account balance please,balance_check
"Sir, tell me my balance",balance_check
I want to balance enquiry,balance_check
balance enquiry now,balance_check
Help me to balance enquiry,balance_check
Please check my balance now,balance_check
"Hello, what is my account balance today",balance_check
Can you show my balance immediately,balance_check
Kindly tell me my balance as soon as possible,balance_check
"Hi, check my balance immediately",balance_check
"Sir, what is my account balance today",balance_check
"Sir, what is my account balance please",balance_check
"Hi, tell me my balance please",balance_check
Can you what is my account balance immediately,balance_check
"Sir, tell me my balance immediately",balance_check
"Sir, what is my account balance as soon as possible",balance_check
Can you show my balance as soon as possible,balance_check
Kindly check my balance immediately,balance_check
"Sir, tell me my balance today",balance_check
Help me to what is my account balance now,balance_check
"Sir, show my balance as soon as possible",balance_check
I want to tell me my balance please,balance_check
"Hello, tell me my balance now",balance_check
I want to balance enquiry now,balance_check
Please check my balance,balance_check
tell me my balance please,balance_check
I want to mini statement please please,mini_statement
"Sir, recent transactions today",mini_statement
Kindly mini statement please now,mini_statement
"Sir, recent transactions today",mini_statement
I want to show my mini statement as soon as possible,mini_statement
mini statement please,mini_statement
Help me to mini statement please now,mini_statement
"Hello, mini statement please",mini_statement
"Hi, last 5 transactions please",mini_statement
Help me to transaction history immediately,mini_statement
Please recent transactions now,mini_statement
"Hi, recent transactions",mini_statement
"Hi, show my mini statement as soon as possible",mini_statement
"Sir, transaction history now",mini_statement
Can you last 5 transactions,mini_statement
"Sir, last 5 transactions as soon as possible",mini_statement
Can you recent transactions immediately,mini_statement
Help me to show my mini statement please,mini_statement
Kindly recent transactions immediately,mini_statement
Help me to show my mini statement please,mini_statement
"Hi, recent transactions today",mini_statement
Please last 5 transactions today,mini_statement
"Sir, show my mini statement now",mini_statement
"Sir, recent transactions",mini_statement
Please show my mini statement,mini_statement
Please recent transactions immediately,mini_statement
Help me to show my mini statement as soon as possible,mini_statement
"Hello, mini statement please as soon as possible",mini_statement
Help me to last 5 transactions now,mini_statement
Can you show my mini statement now,mini_statement
Help me to show my mini statement today,mini_statement
"Hello, transaction history please",mini_statement
"Hi, show my mini statement as soon as possible",mini_statement
I want to show my mini statement,mini_statement
